day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
99;0;ASH_COATED_OSMIUM;9988;20;9987;12;;;10009;5;10010;16;;;9998.5;0.0
99;0;INTARIAN_PEPPER_ROOT;11995;13;;;;;12009;17;;;;;12002.0;0.0
99;100;ASH_COATED_OSMIUM;9987;11;;;;;10005;3;;;;;9996.0;0.0
99;100;INTARIAN_PEPPER_ROOT;11993;10;;;;;;;;;;;11993;0.0
99;200;ASH_COATED_OSMIUM;9985;6;9983;29;;;10001;5;10003;18;;;9993.0;0.0
99;200;INTARIAN_PEPPER_ROOT;11991;16;;;;;12007;15;;;;;11999.0;0.0
99;300;ASH_COATED_OSMIUM;9983;14;;;;;10004;9;;;;;9993.5;0.0
99;300;INTARIAN_PEPPER_ROOT;;;;;;;12008;8;12011;16;;;12008;0.0
99;400;ASH_COATED_OSMIUM;9982;6;9979;15;;;9998;15;10000;21;;;9990.0;0.0
99;400;INTARIAN_PEPPER_ROOT;11993;16;11990;15;;;12007;19;12008;18;;;12000.0;0.0
99;500;ASH_COATED_OSMIUM;9978;10;9976;27;;;9997;8;10000;17;;;9987.5;0.0
99;500;INTARIAN_PEPPER_ROOT;11993;9;11990;20;;;12006;10;12007;25;;;11999.5;0.0
99;600;ASH_COATED_OSMIUM;9976;13;9975;20;;;9992;15;9995;16;;;9984.0;0.0
99;600;INTARIAN_PEPPER_ROOT;11994;20;;;;;12007;15;;;;;12000.5;0.0
99;700;ASH_COATED_OSMIUM;9969;20;;;;;9988;11;;;;;9978.5;0.0
99;700;INTARIAN_PEPPER_ROOT;11995;14;;;;;12009;19;;;;;12002.0;0.0
99;800;ASH_COATED_OSMIUM;9975;19;9974;14;;;9991;18;9992;30;;;9983.0;0.0
99;800;INTARIAN_PEPPER_ROOT;11995;10;11993;18;;;12008;13;12010;14;;;12001.5;0.0
99;900;ASH_COATED_OSMIUM;9974;20;;;;;9990;3;;;;;9982.0;0.0
99;900;INTARIAN_PEPPER_ROOT;11994;17;;;;;12010;13;;;;;12002.0;0.0
99;1000;ASH_COATED_OSMIUM;9971;6;9969;18;;;9987;12;9988;26;;;9979.0;0.0
99;1000;INTARIAN_PEPPER_ROOT;11993;7;11992;24;;;12007;14;12010;18;;;12000.0;0.0
99;1100;ASH_COATED_OSMIUM;9970;7;;;;;9986;14;;;;;9978.0;0.0
99;1100;INTARIAN_PEPPER_ROOT;11994;13;11992;14;;;12008;6;12011;24;;;12001.0;0.0
99;1200;ASH_COATED_OSMIUM;9970;18;9968;17;;;;;;;;;9970;0.0
99;1200;INTARIAN_PEPPER_ROOT;11994;14;11992;17;;;12007;16;12008;23;;;12000.5;0.0
99;1300;ASH_COATED_OSMIUM;9968;7;;;;;9987;7;;;;;9977.5;0.0
99;1300;INTARIAN_PEPPER_ROOT;;;;;;;12008;12;12010;18;;;12008;0.0
99;1400;ASH_COATED_OSMIUM;9969;20;;;;;9985;9;;;;;9977.0;0.0
99;1400;INTARIAN_PEPPER_ROOT;11993;13;;;;;12009;8;;;;;12001.0;0.0
99;1500;ASH_COATED_OSMIUM;9968;13;9967;17;;;9984;3;9987;10;;;9976.0;0.0
99;1500;INTARIAN_PEPPER_ROOT;11994;15;11991;13;;;12007;6;12010;23;;;12000.5;0.0
99;1600;ASH_COATED_OSMIUM;9966;5;9963;16;;;9982;19;9984;27;;;9974.0;0.0
99;1600;INTARIAN_PEPPER_ROOT;11995;14;11994;24;;;12009;9;12011;21;;;12002.0;0.0
99;1700;ASH_COATED_OSMIUM;9970;6;;;;;9986;6;;;;;9978.0;0.0
99;1700;INTARIAN_PEPPER_ROOT;11994;16;11992;22;;;12010;9;12011;18;;;12002.0;0.0
99;1800;ASH_COATED_OSMIUM;9967;6;9965;17;;;9988;4;9989;16;;;9977.5;0.0
99;1800;INTARIAN_PEPPER_ROOT;11991;10;11988;20;;;12007;7;12008;25;;;11999.0;0.0
99;1900;ASH_COATED_OSMIUM;9966;20;9963;12;;;9984;6;9985;17;;;9975.0;0.0
99;1900;INTARIAN_PEPPER_ROOT;11995;11;;;;;;;;;;;11995;0.0
99;2000;ASH_COATED_OSMIUM;9968;8;9966;24;;;9984;15;9986;19;;;9976.0;0.0
99;2000;INTARIAN_PEPPER_ROOT;11997;8;11994;17;;;;;;;;;11997;0.0
99;2100;ASH_COATED_OSMIUM;9978;9;9975;20;;;9994;4;9995;11;;;9986.0;0.0
99;2100;INTARIAN_PEPPER_ROOT;11996;15;;;;;12013;17;;;;;12004.5;0.0
99;2200;ASH_COATED_OSMIUM;9976;19;;;;;9992;5;;;;;9984.0;0.0
99;2200;INTARIAN_PEPPER_ROOT;11998;6;11996;24;;;12012;13;12014;13;;;12005.0;0.0
99;2300;ASH_COATED_OSMIUM;9980;4;9977;26;;;9999;5;10002;20;;;9989.5;0.0
99;2300;INTARIAN_PEPPER_ROOT;11999;12;11997;24;;;12013;5;12016;14;;;12006.0;0.0
99;2400;ASH_COATED_OSMIUM;9983;7;9982;24;;;10001;12;10002;29;;;9992.0;0.0
99;2400;INTARIAN_PEPPER_ROOT;11999;17;11998;20;;;12013;5;12014;19;;;12006.0;0.0
99;2500;ASH_COATED_OSMIUM;9986;10;9984;19;;;10002;14;10005;29;;;9994.0;0.0
99;2500;INTARIAN_PEPPER_ROOT;12002;18;;;;;12015;19;;;;;12008.5;0.0
99;2600;ASH_COATED_OSMIUM;9984;12;;;;;10003;6;;;;;9993.5;0.0
99;2600;INTARIAN_PEPPER_ROOT;12001;6;;;;;12017;6;;;;;12009.0;0.0
99;2700;ASH_COATED_OSMIUM;9984;13;;;;;10005;9;;;;;9994.5;0.0
99;2700;INTARIAN_PEPPER_ROOT;12001;15;12000;19;;;12015;14;12016;15;;;12008.0;0.0
99;2800;ASH_COATED_OSMIUM;9988;5;;;;;10004;16;;;;;9996.0;0.0
99;2800;INTARIAN_PEPPER_ROOT;11998;19;;;;;12012;11;;;;;12005.0;0.0
99;2900;ASH_COATED_OSMIUM;9985;16;9984;14;;;10006;20;10009;27;;;9995.5;0.0
99;2900;INTARIAN_PEPPER_ROOT;11999;14;11997;23;;;12012;5;12014;13;;;12005.5;0.0
99;3000;ASH_COATED_OSMIUM;9989;14;;;;;10005;9;;;;;9997.0;0.0
99;3000;INTARIAN_PEPPER_ROOT;12000;5;11997;14;;;12013;16;12016;25;;;12006.5;0.0
99;3100;ASH_COATED_OSMIUM;9986;8;;;;;10002;8;;;;;9994.0;0.0
99;3100;INTARIAN_PEPPER_ROOT;11999;20;11996;12;;;12013;15;12015;25;;;12006.0;0.0
99;3200;ASH_COATED_OSMIUM;9987;10;9984;22;;;10008;11;10009;11;;;9997.5;0.0
99;3200;INTARIAN_PEPPER_ROOT;11999;11;;;;;12013;11;;;;;12006.0;0.0
99;3300;ASH_COATED_OSMIUM;9991;10;;;;;10007;3;;;;;9999.0;0.0
99;3300;INTARIAN_PEPPER_ROOT;11999;10;11997;22;;;12015;10;12016;18;;;12007.0;0.0
99;3400;ASH_COATED_OSMIUM;9996;19;;;;;10012;15;;;;;10004.0;0.0
