timestamp;buyer;seller;symbol;currency;price;quantity
2700;;;VELVETFRUIT_EXTRACT;XIRECS;5269.0;8
5700;;;VELVETFRUIT_EXTRACT;XIRECS;5273.0;5
10200;;;HYDROGEL_PACK;XIRECS;10017.0;6
10700;;;VELVETFRUIT_EXTRACT;XIRECS;5265.0;4
13100;;;VEV_5400;XIRECS;16.0;3
13100;;;VEV_5500;XIRECS;6.0;3
13100;;;VEV_6000;XIRECS;0.0;3
13100;;;VEV_6500;XIRECS;0.0;3
17400;;;VELVETFRUIT_EXTRACT;XIRECS;5274.0;3
19100;;;HYDROGEL_PACK;XIRECS;10020.0;6
20900;;;VEV_5300;XIRECS;53.0;5
20900;;;VEV_5400;XIRECS;17.0;5
20900;;;VEV_5500;XIRECS;7.0;5
20900;;;VEV_6000;XIRECS;0.0;5
20900;;;VEV_6500;XIRECS;0.0;5
23500;;;VEV_5400;XIRECS;16.0;2
23500;;;VEV_5500;XIRECS;6.0;2
23500;;;VEV_6000;XIRECS;0.0;2
23500;;;VEV_6500;XIRECS;0.0;2
29500;;;VEV_5400;XIRECS;16.0;2
29500;;;VEV_5500;XIRECS;6.0;2
29500;;;VEV_6000;XIRECS;0.0;2
29500;;;VEV_6500;XIRECS;0.0;2
32500;;;VELVETFRUIT_EXTRACT;XIRECS;5266.0;4
41100;;;HYDROGEL_PACK;XIRECS;9998.0;6
41700;;;VELVETFRUIT_EXTRACT;XIRECS;5254.0;5
41900;;;VEV_5400;XIRECS;13.0;2
41900;;;VEV_5500;XIRECS;5.0;2
41900;;;VEV_6000;XIRECS;0.0;2
41900;;;VEV_6500;XIRECS;0.0;2
42900;;;VEV_5400;XIRECS;14.0;4
42900;;;VEV_5500;XIRECS;5.0;4
42900;;;VEV_6000;XIRECS;0.0;4
42900;;;VEV_6500;XIRECS;0.0;4
45100;;;HYDROGEL_PACK;XIRECS;9991.0;3
45100;;;VEV_5400;XIRECS;15.0;5
45100;;;VEV_5500;XIRECS;5.0;5
45100;;;VEV_6000;XIRECS;0.0;5
45100;;;VEV_6500;XIRECS;0.0;5
49800;;;HYDROGEL_PACK;XIRECS;9960.0;3
52900;;;VEV_5500;XIRECS;6.0;5
52900;;;VEV_6000;XIRECS;0.0;5
52900;;;VEV_6500;XIRECS;0.0;5
58300;;;HYDROGEL_PACK;XIRECS;9963.0;6
59200;;;VELVETFRUIT_EXTRACT;XIRECS;5244.0;8
60700;;;HYDROGEL_PACK;XIRECS;9973.0;5
70000;;;VELVETFRUIT_EXTRACT;XIRECS;5255.0;6
71500;;;VELVETFRUIT_EXTRACT;XIRECS;5251.0;4
71800;;;HYDROGEL_PACK;XIRECS;9975.0;5
73100;;;VELVETFRUIT_EXTRACT;XIRECS;5256.0;7
73200;;;VELVETFRUIT_EXTRACT;XIRECS;5254.0;5
75200;;;VEV_5300;XIRECS;46.0;4
75200;;;VEV_5400;XIRECS;14.0;4
75200;;;VEV_5500;XIRECS;5.0;4
75200;;;VEV_6000;XIRECS;0.0;4
75200;;;VEV_6500;XIRECS;0.0;4
79300;;;VEV_5300;XIRECS;47.0;5
79300;;;VEV_5400;XIRECS;14.0;5
79300;;;VEV_5500;XIRECS;5.0;5
79300;;;VEV_6000;XIRECS;0.0;5
79300;;;VEV_6500;XIRECS;0.0;5
85500;;;HYDROGEL_PACK;XIRECS;9954.0;2
90100;;;HYDROGEL_PACK;XIRECS;9931.0;3
91700;;;HYDROGEL_PACK;XIRECS;9929.0;2
